 1918≥‚,,,,220.7
 1919≥‚,12.1,17.9,7.4,1013.8
 1920≥‚,12.5,18,7.8,1652.1
 1921≥‚,11.9,17.3,7.4,1420.6
 1922≥‚,12.3,17.9,7.8,1199.1
 1923≥‚,11.7,17.1,7.4,1261.2
 1924≥‚,11.8,17.7,6.9,950.2
 1925≥‚,11.7,17.2,7.1,1426.6
 1926≥‚,11.6,17,7.2,1340.5
 1927≥‚,11.9,17.8,7.3,1071.9
 1928≥‚,11.9,17.7,7.1,1013.6
 1929≥‚,12,17.9,7.2,929
 1930≥‚,12.4,17.8,8,1768.8
 1931≥‚,11.7,17.3,7.1,1287.6
 1932≥‚,12.2,18,7.6,872.1
 1933≥‚,11.8,17.5,7.2,1296.1
 1934≥‚,11.5,17.4,7,1712.4
 1935≥‚,12.5,18.7,7.5,733.7
 1936≥‚,11.3,17.3,6.6,1654
 1937≥‚,12.7,18.5,8.1,1244.3
 1938≥‚,12.1,17.9,7.5,819
 1939≥‚,12.7,19,7.6,673.4
 1940≥‚,12,18,7,1045.1
 1941≥‚,12.2,18,7.4,1442.2
 1942≥‚,12.2,17.9,7.4,1503.2
 1943≥‚,12.3,18.2,7.5,879.5
 1944≥‚,12.1,18,7.3,1136.7
 1945≥‚,11.6,17.4,6.9,1314.9
 1946≥‚,12.7,18.3,8.1,1365
 1947≥‚,11.3,16.9,6.8,1220.4
 1948≥‚,13.1,18.7,8.4,2074.4
 1949≥‚,12.6,18.1,8.2,912
 1950≥‚,13.1,18.7,8.3,1097.2
 1951≥‚,12.6,18.1,8.3,935.2
 1952≥‚,12.4,17.7,8.1,1145.9
 1953≥‚,12.6,17.8,8.2,1397
 1954≥‚,12.7,18.1,8.3,1325.7
 1955≥‚,12.8,18.5,8.2,1144.2
 1956≥‚,11.7,17.1,7.1,1444.9
 1957≥‚,11.8,17.5,7.2,1299.1
 1958≥‚,12.7,18.3,8.1,1743.6
 1959≥‚,13.3,18.7,8.8,1350
 1960≥‚,13.3,18.9,8.7,1152.8
 1961≥‚,13.7,18.9,9.2,1773.5
 1962≥‚,12.8,18.3,8.2,1141.5
 1963≥‚,12.4,17.5,8.2,1531.7
 1964≥‚,13.7,18.6,9.4,1594.1
 1965≥‚,12.7,18.1,8.1,1093.1
 1966≥‚,13.1,18.4,8.8,1289.2
 1967≥‚,12.9,18.3,8.7,952.2
 1968≥‚,12.7,17.4,8.9,1703.7
 1969≥‚,12.1,16.7,8.3,3245.3
 1970≥‚,12.4,17,8.2,2937.4
 1971≥‚,12.5,17.2,8.3,2630.1
 1972≥‚,12.7,17.3,8.8,3593.3
 1973≥‚,12.4,17.8,7.6,6516.6
 1974≥‚,11.5,17,6.6,8661.9
 1975≥‚,12.6,17.9,8,8966.3
 1976≥‚,11.7,17.3,6.9,6299.8
 1977≥‚,12.4,18.4,7.4,5001.6
 1978≥‚,12.8,18.8,7.6,7386.1
 1979≥‚,12.6,18.3,7.4,8490.1
 1980≥‚,11.2,16.7,6.2,9021
 1981≥‚,11.4,17.2,6.3,7551.4
 1982≥‚,12.4,18.4,7.4,5568.5
 1983≥‚,12.4,18,7.7,7011.9
 1984≥‚,11.9,17.8,7,8420.7
 1985≥‚,12.2,17.6,7.6,10337.7
 1986≥‚,11.6,17.3,6.9,7907.7
 1987≥‚,12.2,18,7.5,9698.9
 1988≥‚,11.9,17.9,6.8,5325.2
 1989≥‚,12.6,18.3,7.7,10653.4
 1990≥‚,12.9,18.6,8.3,9697.1
 1991≥‚,12,17.9,7.2,9058.6
 1992≥‚,12.2,18.1,7.3,7304.1
 1993≥‚,11.5,17.3,6.6,10054
 1994≥‚,12.7,18.9,7.2,5382.4
 1995≥‚,11.6,17.8,6.4,6632.6
 1996≥‚,11.6,17.7,6.5,8054.5
 1997≥‚,12.4,18.5,7.1,10484.6
 1998≥‚,13.2,18.9,8.5,12358.7
 1999≥‚,12.5,18.3,7.4,9757.3
 2000≥‚,12,18,6.9,10095.2
 2001≥‚,12.4,18.4,7.4,7939.1
 2002≥‚,12.5,18.3,7.6,9733.8
 2003≥‚,12.3,17.8,7.7,13321.9
 2004≥‚,12.7,18.9,7.5,9773.6
 2005≥‚,12,17.7,7,9831.6
 2006≥‚,12.8,18.7,7.8,8852.2
 2007≥‚,13,18.8,8.2,11713.1
 2008≥‚,12.9,18.9,7.8,7464.2
 2009≥‚,12.8,18.8,7.6,11327.2
 2010≥‚,12.6,18.2,7.7,14525.5
 2011≥‚,12.3,17.9,7.4,15420.8
 2012≥‚,12.3,17.8,7.4,15476.1
 2013≥‚,12.7,18.5,7.7,12557.1
 2014≥‚,12.9,18.7,8,12818.9
 2015≥‚,13.2,18.9,8.4,9329.7
 2016≥‚,13.5,19.1,8.8,12544.8
 2017≥‚,12.7,18.7,7.5,9493
 2018≥‚,12.9,18.7,7.8,14352.8
 2019≥‚,13.1,19,8.1,11481.9
 2020≥‚,13,18.5,8.4,18222.4
 2021≥‚,13.5,19.3,8.7,12761.1
 2022≥‚,,,,7980.9
 ∆Ú±’,12.4,18,7.7,5377.1