 1969≥‚,11.2,16.4,6.5,1807.1
 1970≥‚,11.6,17.1,7.1,1521.2
 1971≥‚,11.8,17.2,7.1,1420.2
 1972≥‚,12.2,17.3,7.8,1380
 1973≥‚,12.2,17.7,7.6,1102.9
 1974≥‚,10.9,16.6,6.4,1266.2
 1975≥‚,12.3,17.8,8,1383
 1976≥‚,11.4,17.1,6.8,939.3
 1977≥‚,12.2,18.1,7.4,1099.1
 1978≥‚,12.6,18.4,7.8,1465.7
 1979≥‚,12.4,18.1,7.6,1399.1
 1980≥‚,11,16.6,6.3,1598.7
 1981≥‚,11.4,17,6.4,1206.5
 1982≥‚,12.5,18.6,7.4,1007.6
 1983≥‚,12.5,18.1,7.8,1228.3
 1984≥‚,11.9,17.6,6.9,1318.8
 1985≥‚,12.2,17.4,7.6,1692.8
 1986≥‚,11.8,17.3,7,1244.5
 1987≥‚,12.5,18.1,7.4,1880.7
 1988≥‚,12.3,18.2,7.2,920.9
 1989≥‚,13.1,18.6,8.3,1538
 1990≥‚,13.4,18.5,9,1496.4
 1991≥‚,12.6,18.2,7.6,1182.1
 1992≥‚,12.8,18.5,7.9,1036.9
 1993≥‚,12.3,17.8,7.6,1533.1
 1994≥‚,13.8,19.7,8.7,857.9
 1995≥‚,12.3,18.4,7,1136.2
 1996≥‚,12.1,18,7.2,1279.2
 1997≥‚,12.8,18.7,7.6,1765.9
 1998≥‚,13.6,19.2,8.9,2070
 1999≥‚,13,18.5,8.1,1455.2
 2000≥‚,12.4,18.1,7.7,1707.5
 2001≥‚,13.1,18.8,8.2,828.7
 2002≥‚,13.3,18.4,8.8,1378.7
 2003≥‚,13.2,18,8.9,1748.9
 2004≥‚,13.9,19.3,9.1,1496.5
 2005≥‚,12.4,17.5,7.8,1656.1
 2006≥‚,13.1,18.3,8.5,1195.2
 2007≥‚,13.3,18.4,8.9,1750.9
 2008≥‚,13,18.3,8.3,1037.6
 2009≥‚,12.8,18.2,8,1090.4
 2010≥‚,12.7,17.7,8.2,1419.7
 2011≥‚,12.6,17.6,8.2,1943.4
 2012≥‚,12.6,17.6,8.1,1409.5
 2013≥‚,13.1,18.3,8.4,1120.2
 2014≥‚,13.4,18.9,8.8,1117.7
 2015≥‚,14,19.4,9.2,822.7
 2016≥‚,14,19.4,9.4,1228.4
 2017≥‚,13.4,18.9,8.5,1127.5
 2018≥‚,13.5,19,8.8,1542.1
 2019≥‚,14,19.5,9.2,984.2
 2020≥‚,13.7,19.2,9.2,1614
 2021≥‚,14.3,19.7,9.5,1109.5
 2022≥‚,,,,1142.6
 ∆Ú±’,12.7,18.2,8,1346.4