 1939≥‚,,,,569.9
 1940≥‚,12,18.1,6.8,1358.4
 1941≥‚,12.3,18.1,7.5,1413.3
 1942≥‚,12.4,18.5,7.3,867.9
 1943≥‚,12.3,18.6,7.1,968.3
 1944≥‚,12.3,18.3,7.2,884.9
 1945≥‚,11.9,17.7,7,1441.8
 1946≥‚,13,18.7,8.4,1416.1
 1947≥‚,11.7,17.4,7.1,1131.4
 1948≥‚,13.3,19,8.7,1560.4
 1949≥‚,12.9,18.4,8.6,1075.7
 1950≥‚,13.3,18.9,8.7,1076.7
 1951≥‚,13,18.6,8.5,843.4
 1952≥‚,12.9,18.3,8.5,1562.1
 1953≥‚,13,18.5,8.7,1157.6
 1954≥‚,13.2,18.7,8.8,1381.3
 1955≥‚,13.3,19,8.5,984.9
 1956≥‚,12.2,17.5,7.9,1513.6
 1957≥‚,12.4,17.9,7.8,1221.6
 1958≥‚,13.3,18.8,8.7,1513.9
 1959≥‚,13.9,19.3,9.4,1153.2
 1960≥‚,13.5,18.6,9.3,1156.6
 1961≥‚,13.8,18.7,9.7,1538.7
 1962≥‚,13,18,8.7,1474.7
 1963≥‚,12.5,17.3,8.5,1471.3
 1964≥‚,13.9,18.7,9.8,1239.4
 1965≥‚,12.7,17.9,8.3,1257.7
 1966≥‚,13.4,18.4,9.1,1155.9
 1967≥‚,13.3,18.5,8.9,779
 1968≥‚,13.2,18.5,8.8,835.5
 1969≥‚,12.6,17.5,8.4,1723.3
 1970≥‚,12.8,17.8,8.7,1313.8
 1971≥‚,12.9,18,8.6,1291.7
 1972≥‚,13.2,18.2,9,1824.6
 1973≥‚,13.4,18.7,8.9,1171.3
 1974≥‚,12.5,17.9,7.9,1730.1
 1975≥‚,13.5,18.6,9.5,1436
 1976≥‚,12.6,18,8.4,1089
 1977≥‚,13.4,19.1,9,914.8
 1978≥‚,13.8,19.7,9.3,1571.1
 1979≥‚,13.6,19.3,8.9,1337.6
 1980≥‚,12.3,17.5,7.9,1763.4
 1981≥‚,12.7,18,8.2,1340.6
 1982≥‚,13.6,19.3,8.8,874.3
 1983≥‚,13.5,18.8,9.3,1026.7
 1984≥‚,13.1,18.3,8.8,1271
 1985≥‚,13.3,18.1,9.2,1995.6
 1986≥‚,12.7,18,8.5,1357.9
 1987≥‚,13.4,18.7,9.1,1611
 1988≥‚,13.4,18.9,8.9,799.9
 1989≥‚,13.9,19.2,9.7,2020.4
 1990≥‚,14.5,19.6,10.3,1484.2
 1991≥‚,13.7,19,9.5,1480.5
 1992≥‚,13.7,19.1,9.1,1098.1
 1993≥‚,13.1,18.4,8.8,1372.1
 1994≥‚,14.6,20.3,9.9,776.4
 1995≥‚,13.4,18.7,8.9,764.4
 1996≥‚,13.2,18.6,8.9,1268.8
 1997≥‚,14.1,19.6,9.5,1479.2
 1998≥‚,15,20.1,10.7,1943
 1999≥‚,14.3,19.4,9.9,1429.7
 2000≥‚,13.5,19,9,1511
 2001≥‚,13.8,19.4,9.4,1129.9
 2002≥‚,13.9,19.3,9.4,1458.7
 2003≥‚,13.6,18.4,9.5,1994.1
 2004≥‚,14.3,19.8,9.8,1742.3
 2005≥‚,13.6,18.7,9.4,1289.6
 2006≥‚,14.2,19.2,10,1520.2
 2007≥‚,14.6,19.6,10.6,1620.6
 2008≥‚,14.6,19.8,10.4,1007.2
 2009≥‚,14.6,20.1,10.2,1488.2
 2010≥‚,14.2,19.2,10.1,1573.1
 2011≥‚,13.7,19,9.5,1300.3
 2012≥‚,13.7,18.9,9.5,1626.8
 2013≥‚,14.2,19.6,9.8,1245.4
 2014≥‚,14.3,19.7,10,1290.3
 2015≥‚,14.6,19.8,10.4,1049.6
 2016≥‚,15,20.1,10.9,1482.3
 2017≥‚,14.6,20.1,10.2,936.6
 2018≥‚,14.6,20.1,10.3,1427.9
 2019≥‚,14.7,20,10.5,1085.9
 2020≥‚,14.5,19.6,10.5,2027
 2021≥‚,15.1,20.3,10.8,1303.8
 2022≥‚,,,,692.6
 ∆Ú±’,13.5,18.8,9.1,1313.9