 1938≥‚,,,,606.3
 1939≥‚,12.4,15.5,10,1018.2
 1940≥‚,11.9,15,9.3,1321.2
 1941≥‚,11.9,15,9.4,1126
 1942≥‚,12.2,15.4,9.7,1700.2
 1943≥‚,12,15.2,9.6,1221
 1944≥‚,11.9,15.2,9.3,1360.7
 1945≥‚,11,14.2,8.4,1722.9
 1946≥‚,12.3,15.7,9.7,1374
 1947≥‚,10.5,13.9,7.7,1160
 1948≥‚,12.2,15.6,9.5,1424.3
 1949≥‚,12.4,16.5,8.8,2119.2
 1950≥‚,12.3,15.7,9.9,1994.1
 1951≥‚,13.3,17.3,10,2075.2
 1952≥‚,12.5,16.3,8.7,2066.5
 1953≥‚,12.8,16.4,8.2,2981.7
 1954≥‚,12.7,16.1,9.9,3252.4
 1955≥‚,12.9,16.6,9.8,2393.4
 1956≥‚,11.7,15.4,8.6,3051.6
 1957≥‚,11.9,15.9,8.9,2303
 1958≥‚,12.7,16.7,9.7,2903.1
 1959≥‚,13.4,17.2,10.4,3047.2
 1960≥‚,13.3,17.2,10.1,2793
 1961≥‚,13.5,17.3,10.4,3097.6
 1962≥‚,12.7,16.7,9.5,2300
 1963≥‚,11.8,15.7,8.6,2418.7
 1964≥‚,12.9,16.8,9.7,2618.5
 1965≥‚,12.4,16.4,8.9,1932.9
 1966≥‚,12.4,16.5,9.1,2152.2
 1967≥‚,12.6,16.6,9.3,1965.7
 1968≥‚,12.3,16.4,9,1741.7
 1969≥‚,12,16.1,8.7,2067
 1970≥‚,12.1,16.1,8.9,2693.6
 1971≥‚,12.5,17,8.6,2748.7
 1972≥‚,12.7,17,8.9,4389.5
 1973≥‚,12.5,18,7.4,8835.1
 1974≥‚,11.3,17,6.3,10868
 1975≥‚,12.6,17.8,8,12330.5
 1976≥‚,11.6,17.1,6.7,9943
 1977≥‚,12.3,18.1,7.2,9380.5
 1978≥‚,12.9,18.6,8,10774.1
 1979≥‚,12.7,18.2,7.8,10384
 1980≥‚,11.3,16.7,6.5,11287.1
 1981≥‚,11.5,17.1,6.4,8664.5
 1982≥‚,12.4,18.2,7.3,6915.7
 1983≥‚,12.1,17.7,7.2,11025.5
 1984≥‚,11.5,17.2,6.5,10938.4
 1985≥‚,12,17.2,7.4,12200.3
 1986≥‚,11.3,16.8,6.5,9447.3
 1987≥‚,12.1,17.8,7.2,11479.6
 1988≥‚,11.6,17.5,6.4,9502.3
 1989≥‚,12.3,18,7.4,14097.2
 1990≥‚,12.7,18.2,7.9,13498.2
 1991≥‚,11.8,17.5,6.8,13248
 1992≥‚,12.1,17.8,7,10098.6
 1993≥‚,11.4,17,6.4,15507.9
 1994≥‚,13,19.1,7.4,8324
 1995≥‚,11.7,17.9,6.3,9199.4
 1996≥‚,11.8,17.7,6.6,10650.5
 1997≥‚,12.4,18.5,7,12888.2
 1998≥‚,13.1,18.5,8.3,17338.7
 1999≥‚,12.4,18,7.4,16589.7
 2000≥‚,12.2,18.1,7.1,12089.3
 2001≥‚,12.2,18.1,7.1,10062.5
 2002≥‚,12,17.6,7,17144.2
 2003≥‚,11.8,17.2,7.3,22311.9
 2004≥‚,12.7,18.7,7.6,16622.3
 2005≥‚,11.9,17.6,6.9,13669
 2006≥‚,12.4,18,7.6,16496.5
 2007≥‚,12.9,18.5,8.1,15742.4
 2008≥‚,12.5,18.3,7.5,10930.4
 2009≥‚,12.6,18.4,7.5,11862.9
 2010≥‚,12.2,17.7,7.4,13446
 2011≥‚,12,17.6,7.1,18337
 2012≥‚,11.8,17.4,7,17633.8
 2013≥‚,12.5,18.3,7.4,13882.2
 2014≥‚,12.5,18.3,7.4,16153.6
 2015≥‚,13,18.7,7.9,11522.7
 2016≥‚,13.2,18.8,8.3,17083
 2017≥‚,12.8,18.8,7.5,12098.1
 2018≥‚,12.7,18.6,7.6,18432.5
 2019≥‚,13.3,19.2,8.2,16069.7
 2020≥‚,13,18.5,8.1,19103.3
 2021≥‚,12.9,18.6,8,16686
 2022≥‚,,,,11226.7
 ∆Ú±’,12.3,17.2,8.1,8578.4