 1937≥‚,,,,
 1938≥‚,,,,
 1939≥‚,,,,
 1940≥‚,,,,143.8
 1941≥‚,,,,328.4
 1942≥‚,,,,143.6
 1943≥‚,,,,
 1944≥‚,,,,
 1945≥‚,,,,61.4
 1946≥‚,,,,157.3
 1947≥‚,,,,236.7
 1948≥‚,,,,370.3
 1949≥‚,11.6,17,7.2,904.7
 1950≥‚,,,,344.6
 1951≥‚,,,,
 1952≥‚,,,,164.4
 1953≥‚,11.4,16.9,6.3,1392
 1954≥‚,11.5,16.9,6.6,1264.4
 1955≥‚,11.6,17.3,6.8,1069
 1956≥‚,10.3,15.4,5.8,1408.9
 1957≥‚,10.7,16,6.1,1360.5
 1958≥‚,11.7,16.9,6.9,1527.1
 1959≥‚,12.1,17.2,7.8,1352.7
 1960≥‚,12,17.4,7.6,882.5
 1961≥‚,12.4,17.3,8,1437.8
 1962≥‚,11.8,16.9,7.2,992.6
 1963≥‚,11.1,16.1,6.6,1099.9
 1964≥‚,12.2,17.1,7.9,1364.1
 1965≥‚,11.4,16.8,6.6,1026.2
 1966≥‚,11.5,16.8,7,1144.2
 1967≥‚,11.6,17,6.8,1981.8
 1968≥‚,11.6,17.2,6.6,1706.6
 1969≥‚,10.7,16.1,6,3032.5
 1970≥‚,11.1,16.5,6.6,2578.2
 1971≥‚,11.3,16.8,6.6,2393.1
 1972≥‚,11.6,16.9,7.1,4168.7
 1973≥‚,11.1,16.9,5.9,4240
 1974≥‚,10.1,16,4.7,5519.6
 1975≥‚,11.5,17.2,6.5,6192.5
 1976≥‚,10.5,16.4,5.1,5024.2
 1977≥‚,11.2,17.6,5.6,4701
 1978≥‚,11.7,17.8,6.1,6445.4
 1979≥‚,11.4,17.5,6,6596.5
 1980≥‚,10,16,4.6,7773.3
 1981≥‚,10.1,16.3,4.6,5586
 1982≥‚,11.3,17.8,5.6,4269
 1983≥‚,11.3,17.4,6.1,5560.6
 1984≥‚,10.6,17,5.2,5805.5
 1985≥‚,11,16.8,6,7302.5
 1986≥‚,10.4,16.4,5.3,5729.7
 1987≥‚,11.2,17.4,5.9,8277.5
 1988≥‚,11,17.4,5.4,4826.3
 1989≥‚,11.8,17.9,6.5,6787.1
 1990≥‚,12,17.9,7.1,8086.2
 1991≥‚,11.2,17.4,5.7,6084
 1992≥‚,11.3,17.5,6,5031.9
 1993≥‚,10.6,16.7,5.3,6775.9
 1994≥‚,11.9,18.5,6,4879.6
 1995≥‚,10.5,17.2,4.7,6044.2
 1996≥‚,10.8,17.1,5.3,5091
 1997≥‚,11.2,17.8,5.5,6827.4
 1998≥‚,12.3,18.4,7.2,8550.1
 1999≥‚,11.7,17.9,6.1,6744
 2000≥‚,11.2,17.4,5.8,6520
 2001≥‚,11.6,17.9,5.9,4088.1
 2002≥‚,11.5,17.4,6.2,6996.4
 2003≥‚,11.5,17.1,6.6,9014.1
 2004≥‚,12.1,18.4,6.6,7371.5
 2005≥‚,11.2,17.2,5.9,6878
 2006≥‚,11.8,17.7,6.8,6504.1
 2007≥‚,12,17.9,7,7884.1
 2008≥‚,11.8,17.9,6.5,4441
 2009≥‚,11.7,17.7,6.3,5356.9
 2010≥‚,11.4,17.1,6.4,6703.2
 2011≥‚,11.2,17,6.1,9321.9
 2012≥‚,11.1,16.8,6.1,7047.3
 2013≥‚,11.6,17.5,6.5,5826.9
 2014≥‚,12,18,6.6,4952.5
 2015≥‚,12.4,18.4,7.1,3938.1
 2016≥‚,12.6,18.5,7.3,5401.7
 2017≥‚,11.9,18.1,6.3,5689.4
 2018≥‚,11.9,18.1,6.4,6853.7
 2019≥‚,12.4,18.6,6.9,4705.5
 2020≥‚,12.1,17.9,7,7679.7
 2021≥‚,12.5,18.2,7.3,5756.1
 2022≥‚,,,,5786.6
 ∆Ú±’,11.4,17.3,6.3,4318.8