 1907≥‚,,,,511.6
 1908≥‚,,,,854.1
 1909≥‚,12.8,18.8,7.8,880.3
 1910≥‚,12.2,18.1,7.2,1301.7
 1911≥‚,12.6,18.4,7.8,1455.4
 1912≥‚,12.4,18.6,7.2,625.8
 1913≥‚,11.9,18.4,6.5,675.2
 1914≥‚,13.5,19.6,8.7,984.9
 1915≥‚,12.9,19.1,8,995.6
 1916≥‚,12.3,17.4,7.8,1500.9
 1917≥‚,11.1,16.8,6,637.4
 1918≥‚,11.8,17.4,6.7,983.4
 1919≥‚,12.2,18,6.9,895.7
 1920≥‚,12.7,18.2,8.1,877.9
 1921≥‚,11.9,17.4,7.3,864.1
 1922≥‚,12.7,18.5,8.1,982.6
 1923≥‚,12,17.3,7.5,949.5
 1924≥‚,12.2,18.1,7.3,825.5
 1925≥‚,12,17.4,7.3,1179.3
 1926≥‚,11.9,17.5,7.1,1159
 1927≥‚,12.4,18.1,7.6,742.5
 1928≥‚,12.5,18.2,7.7,687.1
 1929≥‚,12.7,18.7,7.7,918
 1930≥‚,12.8,18.3,8.3,1241.4
 1931≥‚,12.3,17.8,7.7,1094.5
 1932≥‚,12.5,18.7,7.5,612.3
 1933≥‚,12.5,18.1,7.9,1564.6
 1934≥‚,12.1,18,7.4,1384.5
 1935≥‚,13,18.9,8.1,788.1
 1936≥‚,11.5,17.2,6.8,1440.6
 1937≥‚,12.7,18.3,8,805.5
 1938≥‚,12.4,18.2,7.5,744.7
 1939≥‚,12.9,19.2,7.6,581
 1940≥‚,12.4,18.4,7.2,916.8
 1941≥‚,12.3,18.2,7.3,1085.7
 1942≥‚,12.6,18.8,7.4,917.8
 1943≥‚,12.7,18.8,7.5,735.8
 1944≥‚,12.6,18.7,7.5,623.3
 1945≥‚,12,18,7,1250.7
 1946≥‚,12.7,18.5,8,990.5
 1947≥‚,11.4,17.3,6.6,857.4
 1948≥‚,12.9,18.7,8.2,1458.2
 1949≥‚,12.5,18.4,7.9,806.1
 1950≥‚,12.9,18.7,8.1,878.1
 1951≥‚,13,19.2,7.9,782
 1952≥‚,12.5,18.3,7.7,848.6
 1953≥‚,12.6,18.4,7.9,922.6
 1954≥‚,12.8,18.2,8.4,956.9
 1955≥‚,13,18.8,8.1,795.1
 1956≥‚,11.6,17.3,6.9,1211.4
 1957≥‚,12.1,17.9,7,973.7
 1958≥‚,13,18.6,8.1,1275.2
 1959≥‚,13.6,19.1,9.1,1192.3
 1960≥‚,13.4,19.2,8.7,886
 1961≥‚,13.7,19,9.1,1457.9
 1962≥‚,13.1,19,8.1,874.1
 1963≥‚,12.3,17.8,7.5,1031.8
 1964≥‚,13.6,19.2,8.9,904.1
 1965≥‚,12.8,18.6,7.6,1014.4
 1966≥‚,12.9,18.5,8.3,933.8
 1967≥‚,13,18.6,8.4,911.3
 1968≥‚,13,18.7,8.2,802.5
 1969≥‚,12.5,17.7,7.7,1231.2
 1970≥‚,12.7,17.8,8.1,1319.4
 1971≥‚,13,18.4,8.2,722.5
 1972≥‚,13.1,18.3,8.4,1206.6
 1973≥‚,13.7,19.3,8.8,864.4
 1974≥‚,12.6,18.3,7.6,1214.6
 1975≥‚,13.5,18.8,9.2,1043.6
 1976≥‚,12.6,18.3,7.9,733.5
 1977≥‚,13.5,19.3,8.6,769.7
 1978≥‚,14.2,20,9.2,1012.7
 1979≥‚,13.7,19.3,8.9,1017.6
 1980≥‚,12.5,17.9,8,1196.1
 1981≥‚,12.9,18.5,8,995
 1982≥‚,13.7,19.5,8.8,834.7
 1983≥‚,13.5,19,8.7,1003.1
 1984≥‚,13.2,18.6,8.4,1188.5
 1985≥‚,13.5,18.6,9,1396.6
 1986≥‚,12.9,18.7,8.2,993.8
 1987≥‚,13.7,19.6,8.9,1094.1
 1988≥‚,13.4,19.5,8.6,617
 1989≥‚,14.3,19.9,9.7,1247.4
 1990≥‚,14.6,20.1,10.1,1239.7
 1991≥‚,13.7,19.1,9,1296.2
 1992≥‚,14.1,19.7,9.4,811.7
 1993≥‚,13.4,18.9,8.8,1181.7
 1994≥‚,15.2,21.2,10.1,567.5
 1995≥‚,13.9,20,8.9,728.8
 1996≥‚,13.7,19.4,8.9,888.5
 1997≥‚,14.5,20.3,9.6,1122.2
 1998≥‚,14.9,19.9,10.7,1381.8
 1999≥‚,14.3,19.2,9.9,1377.4
 2000≥‚,14.2,19,10,1087.3
 2001≥‚,14.8,19.8,10.5,878.3
 2002≥‚,14.1,19.3,9.6,1291.3
 2003≥‚,13.8,18.5,9.6,1749.9
 2004≥‚,14.8,20.3,10.2,1222.4
 2005≥‚,14.2,19.5,9.8,834.3
 2006≥‚,14.6,19.7,10.3,1131.5
 2007≥‚,15,20,10.7,973.9
 2008≥‚,14.6,19.9,10.1,761.4
 2009≥‚,14.8,20.2,10.2,832.5
 2010≥‚,14.4,19.6,9.9,1204.5
 2011≥‚,14.3,19.3,9.9,1430.4
 2012≥‚,14.1,19.2,9.8,1189.9
 2013≥‚,15,20.4,10.4,996.4
 2014≥‚,14.9,20.2,10.5,1072.1
 2015≥‚,14.8,20.1,10.2,908.5
 2016≥‚,14.6,19.8,10.1,1227.3
 2017≥‚,14.4,20.1,9.3,663.7
 2018≥‚,14.1,19.6,9.2,1297.6
 2019≥‚,14.8,20.3,9.9,995.7
 2020≥‚,14.5,20,9.8,1244.9
 2021≥‚,14.6,20.2,9.8,910
 2022≥‚,,,,542.8
 ∆Ú±’,13.2,18.8,8.5,1006.8