 1923≥‚,,,,1251.9
 1924≥‚,14.1,18.1,11,1227
 1925≥‚,14,17.8,10.9,1612.8
 1926≥‚,14.3,18.2,11,956.9
 1927≥‚,14.5,18.3,11.3,2042.1
 1928≥‚,14.2,17.9,11,1642.3
 1929≥‚,14.6,18.4,11.2,774.5
 1930≥‚,15,18.8,11.9,1233.5
 1931≥‚,14.2,17.9,11,1518.9
 1932≥‚,14.4,18.2,11.2,1131.2
 1933≥‚,14.2,17.8,11.2,1684.6
 1934≥‚,14.3,18,11,1590.1
 1935≥‚,14.9,18.6,11.7,1372.9
 1936≥‚,13.8,17.5,10.6,1404.6
 1937≥‚,15,18.7,11.9,1309.3
 1938≥‚,14.4,18.2,11.2,1126.8
 1939≥‚,14.7,18.6,11.5,1248.7
 1940≥‚,14.5,18.4,11.1,1629.6
 1941≥‚,14.5,18.4,11.1,1811.5
 1942≥‚,14.8,18.8,11.4,929.7
 1943≥‚,14.5,18.3,11.2,1099.8
 1944≥‚,14.6,18.4,11.4,976.9
 1945≥‚,14.3,18.2,11,1616.6
 1946≥‚,15.1,19.1,11.7,1400.1
 1947≥‚,13.9,17.9,10.6,1619.9
 1948≥‚,15.1,19.1,12,1483.5
 1949≥‚,14.6,18.4,11.6,1466.1
 1950≥‚,15,18.9,11.8,1293.9
 1951≥‚,14.8,18.8,11.5,1512.5
 1952≥‚,14.8,18.5,11.5,1495.9
 1953≥‚,14.9,18.8,11.5,1395
 1954≥‚,14.9,18.6,11.7,1745.1
 1955≥‚,15,18.8,11.6,1384.6
 1956≥‚,14.4,18,10.9,2015.9
 1957≥‚,14.3,18,10.9,1721.7
 1958≥‚,15.3,18.9,11.9,1206.1
 1959≥‚,15.6,19.4,12.4,1504.4
 1960≥‚,15.5,19.2,12.3,1494.6
 1961≥‚,16,19.5,12.5,3633.4
 1962≥‚,15.1,18.8,11.4,3440.3
 1963≥‚,14.8,18.3,11.3,3668.3
 1964≥‚,16.3,19.7,12.7,2184.2
 1965≥‚,15.3,18.9,11.4,2676.1
 1966≥‚,15.9,19.5,12.2,3598.8
 1967≥‚,15.5,19.1,12,2179
 1968≥‚,15.1,18.7,11.6,2834.1
 1969≥‚,15.2,18.7,11.6,3521.7
 1970≥‚,15.1,18.5,11.8,3033.5
 1971≥‚,15.7,19.2,12.2,2328
 1972≥‚,15.6,18.9,12.2,4275.1
 1973≥‚,15.6,19,12,4344.1
 1974≥‚,14.9,18.4,11.3,5073.4
 1975≥‚,15.8,19,12.6,4421.5
 1976≥‚,14.8,18.3,11.2,5111.4
 1977≥‚,15.4,18.9,11.8,4355.4
 1978≥‚,15.9,19.6,12.3,3430.3
 1979≥‚,15.9,19.6,12.2,5966.5
 1980≥‚,14.8,18.1,11.3,5584.3
 1981≥‚,15.2,18.7,11.5,5305.2
 1982≥‚,15.6,19.2,12,4281.7
 1983≥‚,15.6,19.2,12.2,5167.6
 1984≥‚,15.1,18.6,11.7,3279.3
 1985≥‚,15.6,19,12.3,8858.8
 1986≥‚,15,18.6,11.4,5375.9
 1987≥‚,15.7,19.4,12.1,5995.8
 1988≥‚,15.5,18.9,12.2,4676.3
 1989≥‚,15.9,19.2,12.7,5818.1
 1990≥‚,16.5,19.7,13.2,7057.7
 1991≥‚,15.5,18.6,12.7,7171.3
 1992≥‚,16,19.3,12.8,6149.4
 1993≥‚,15.1,18.4,12,6919.8
 1994≥‚,16.3,19.7,13.2,5418.5
 1995≥‚,15.4,18.6,12.3,6926.1
 1996≥‚,15.5,18.8,12.5,5132.4
 1997≥‚,16.1,19.4,13.1,5253.4
 1998≥‚,16.8,20,13.9,6959.3
 1999≥‚,15.9,19.2,13,9699
 2000≥‚,15.8,19.2,12.8,4941.5
 2001≥‚,16,19.4,12.9,6140.9
 2002≥‚,16,19.4,13.1,6588.6
 2003≥‚,16.2,19.6,13.4,8332.8
 2004≥‚,16.5,20.2,13.4,6584.2
 2005≥‚,15.8,19.2,12.8,4678.6
 2006≥‚,16.1,19.5,13.3,6873.3
 2007≥‚,16.6,19.8,13.8,8184.8
 2008≥‚,16.1,19.3,13.3,5713.2
 2009≥‚,16.1,19.3,13.1,6198.1
 2010≥‚,15.8,19.1,12.9,7426.8
 2011≥‚,15.8,18.8,13.1,6315.8
 2012≥‚,15.9,19,13,8825.6
 2013≥‚,16.3,19.7,13.3,4006.8
 2014≥‚,16.1,19.3,13.2,7549.2
 2015≥‚,16.2,19.4,13.4,8435
 2016≥‚,16.6,19.8,13.9,7169.9
 2017≥‚,16.4,19.8,13.4,4886.3
 2018≥‚,16.3,19.6,13.4,7428.2
 2019≥‚,16.6,19.9,13.7,8409.2
 2020≥‚,16.4,19.6,13.5,6824.2
 2021≥‚,17.2,20.6,14.2,7238.1
 2022≥‚,,,,4902.5
 ∆Ú±’,15.4,18.9,12.1,3986.9