 1904≥‚,,,,308.6
 1905≥‚,,,,486.1
 1906≥‚,12.8,16.7,10,865.3
 1907≥‚,13.1,17.7,9.9,811.6
 1908≥‚,12.8,17,9.6,1038.6
 1909≥‚,12.9,17.2,9.6,887.1
 1910≥‚,12.6,17,9.5,1265.3
 1911≥‚,13,17.3,9.8,1276.5
 1912≥‚,12.7,17.4,9.4,761.5
 1913≥‚,12.4,17.5,8.8,681.6
 1914≥‚,14.1,18.2,10.8,1016.3
 1915≥‚,13.3,17.4,9.9,947.9
 1916≥‚,13.1,17.8,9.7,1743.8
 1917≥‚,12.4,17.2,8.9,887.7
 1918≥‚,12.8,17.5,9.4,1165
 1919≥‚,13.4,18.3,9.8,851.7
 1920≥‚,13.9,18.9,10.4,1113.2
 1921≥‚,13.2,18,9.7,1138.3
 1922≥‚,13.6,18.6,9.9,923.7
 1923≥‚,13,17.8,9.4,1318.7
 1924≥‚,13,18.2,9.4,867.6
 1925≥‚,13,18,9.4,1203.4
 1926≥‚,12.9,17.6,9.3,1348
 1927≥‚,13.3,18.3,9.7,931.3
 1928≥‚,13.2,18.1,9.6,1170.3
 1929≥‚,13.5,18.4,9.8,677.1
 1930≥‚,13.8,18.2,10.4,1362.5
 1931≥‚,12.8,17.2,9.4,1357.4
 1932≥‚,13.3,17.8,10.1,821.9
 1933≥‚,13,17.4,9.7,1232.2
 1934≥‚,12.8,17.2,9.6,1412.9
 1935≥‚,13.7,18.3,10.4,766.5
 1936≥‚,12.4,16.8,9.2,1610.6
 1937≥‚,13.8,18.3,10.4,966.1
 1938≥‚,13.1,17.7,9.9,960
 1939≥‚,13.7,18.7,10.3,802.2
 1940≥‚,13.4,18.2,9.8,1182.5
 1941≥‚,13.4,18.2,9.8,1159.2
 1942≥‚,13.6,18.7,9.8,1428.5
 1943≥‚,13.8,18.3,10.4,1730.6
 1944≥‚,13.5,18,10.2,1725.3
 1945≥‚,13,17.4,9.9,2396.1
 1946≥‚,13.8,18.1,10.5,2865.7
 1947≥‚,12.5,16.8,9.1,2154.2
 1948≥‚,14.2,18.4,10.9,2906
 1949≥‚,13.6,17.7,10.5,2041.8
 1950≥‚,14,19,10.3,1628.5
 1951≥‚,13.7,18,10.5,2087.6
 1952≥‚,13.4,17.6,10.3,2472.2
 1953≥‚,13.6,17.8,10.5,2578.9
 1954≥‚,13.8,17.8,10.6,3025
 1955≥‚,13.9,18.1,10.7,1840.8
 1956≥‚,12.8,16.8,9.6,3303.7
 1957≥‚,13.1,17.3,9.8,3030.4
 1958≥‚,13.9,18.2,10.6,3046.2
 1959≥‚,14.4,18.5,11.2,2357.2
 1960≥‚,14.3,18.5,11.1,2666.2
 1961≥‚,14.5,18.4,11.2,2947.1
 1962≥‚,13.7,17.9,10.4,2527.3
 1963≥‚,13.3,17.2,10.1,3342.8
 1964≥‚,14.4,18.2,11.5,1997.9
 1965≥‚,13.4,17.5,10.2,2060.8
 1966≥‚,13.9,18,10.8,2189.8
 1967≥‚,13.7,17.9,10.7,1684.2
 1968≥‚,13.5,17.7,10.5,1762.4
 1969≥‚,13.1,17,10,3171.1
 1970≥‚,13.2,17.2,10.3,2752.8
 1971≥‚,13.5,17.7,10.3,2755.1
 1972≥‚,13.6,17.6,10.4,6077.9
 1973≥‚,13.7,18.5,9.6,7177.9
 1974≥‚,12.9,17.7,8.7,10690.7
 1975≥‚,14,18.5,10.1,7500.7
 1976≥‚,12.9,17.7,8.7,6743.3
 1977≥‚,13.6,18.6,9.3,6168.5
 1978≥‚,14.1,19.4,9.7,6329.1
 1979≥‚,13.9,19.1,9.5,9220.9
 1980≥‚,12.6,17.4,8.6,10572.4
 1981≥‚,12.9,18,8.6,9984.8
 1982≥‚,13.7,19,9.3,6988.9
 1983≥‚,13.7,18.6,9.7,7263.1
 1984≥‚,13.2,18.1,9.1,7108
 1985≥‚,13.5,18.1,9.6,13331.5
 1986≥‚,13,17.9,8.9,9034.9
 1987≥‚,13.5,18.4,9.5,9536.6
 1988≥‚,13.5,18.5,9.3,5033.2
 1989≥‚,14.1,18.9,10.1,9258.5
 1990≥‚,14.5,19.2,10.5,8899.8
 1991≥‚,13.7,18.6,9.6,7771.4
 1992≥‚,13.9,19,9.7,6331.9
 1993≥‚,13.2,18,9,8547.4
 1994≥‚,14.4,19.6,9.7,5470.8
 1995≥‚,13.3,18.4,8.8,5138
 1996≥‚,13.2,18.3,8.8,6851.6
 1997≥‚,13.9,18.7,9.6,9344.2
 1998≥‚,14.6,18.9,10.9,11416.1
 1999≥‚,13.9,18.3,10.1,12918.8
 2000≥‚,13.4,18.1,9.3,9420.1
 2001≥‚,13.7,18.4,9.6,6987
 2002≥‚,13.6,18.2,9.6,10687.6
 2003≥‚,13.6,17.8,9.9,13102.5
 2004≥‚,14,18.9,9.9,10926.6
 2005≥‚,13.3,17.9,9.5,7995.3
 2006≥‚,13.7,18.4,9.8,10267.5
 2007≥‚,14.1,18.6,10.2,11253.5
 2008≥‚,13.8,18.4,9.8,7930.7
 2009≥‚,13.9,18.6,9.8,10200.9
 2010≥‚,13.6,18.2,9.6,15938.9
 2011≥‚,13.3,18,9.3,18090.4
 2012≥‚,13.4,18,9.4,21041.4
 2013≥‚,13.9,18.9,9.6,14426.7
 2014≥‚,13.9,18.8,9.7,19272.5
 2015≥‚,14.2,18.9,10,15997.2
 2016≥‚,14.5,19.1,10.4,19541
 2017≥‚,13.9,19.2,9.3,11328.9
 2018≥‚,13.9,18.9,9.6,19315.9
 2019≥‚,14.2,19.2,9.9,18839.3
 2020≥‚,14.1,18.8,10,21011.3
 2021≥‚,14.7,19.8,10.4,18100.8
 2022≥‚,,,,10752.7
 ∆Ú±’,13.5,18.1,9.9,5587.7