 1940≥‚,,,,
 1941≥‚,,,,
 1942≥‚,,,,
 1943≥‚,,,,
 1944≥‚,,,,
 1945≥‚,,,,894.3
 1946≥‚,13.3,18.9,8.8,1252.2
 1947≥‚,11.8,17.5,7.3,1082.7
 1948≥‚,13.3,18.8,8.9,1640.2
 1949≥‚,12.9,18.4,8.4,1049.5
 1950≥‚,13.2,18.9,8.7,1157.6
 1951≥‚,13.3,19.6,8.6,924.9
 1952≥‚,12.9,18.8,8.2,993.8
 1953≥‚,13.2,19.2,8.9,1115.2
 1954≥‚,13.3,18.5,9.4,1563.7
 1955≥‚,13.4,18.7,9,966.4
 1956≥‚,12.2,17.4,7.8,1650.1
 1957≥‚,12.6,18,8.2,1321
 1958≥‚,13.4,18.7,9.1,1481.6
 1959≥‚,13.9,19.1,9.8,1448.4
 1960≥‚,13.8,19.1,9.4,994.9
 1961≥‚,14.1,19.1,9.7,1625.5
 1962≥‚,13.3,19,8.5,1091.6
 1963≥‚,12.4,17.7,8.1,1526.8
 1964≥‚,13.7,19,9.4,950.1
 1965≥‚,13,18.7,8,1199.2
 1966≥‚,13.3,18.7,8.6,1115.3
 1967≥‚,13.2,18.6,8.7,1082.1
 1968≥‚,13,18.6,8.5,939.7
 1969≥‚,12.8,18.2,8.5,1936.5
 1970≥‚,12.9,18.1,8.8,1813.9
 1971≥‚,13.3,18.8,8.6,832.3
 1972≥‚,13.3,18.4,8.9,1932.3
 1973≥‚,13.8,19,9.1,956.9
 1974≥‚,12.9,18.1,8.2,1383.3
 1975≥‚,13.8,18.5,9.8,1306.5
 1976≥‚,12.9,18,8.5,1027
 1977≥‚,13.6,18.7,9.3,1024.9
 1978≥‚,14.4,19.8,9.6,1147.1
 1979≥‚,14.1,19.4,9.3,1396
 1980≥‚,12.7,17.9,8.2,1536
 1981≥‚,13.1,18.6,8.3,1064
 1982≥‚,13.9,19.3,9.3,997.1
 1983≥‚,13.7,19,9.1,1286.3
 1984≥‚,13.3,18.5,8.7,1308.5
 1985≥‚,13.7,18.5,9.4,1746.9
 1986≥‚,13.1,18.5,8.4,1001.7
 1987≥‚,13.8,19.3,9.1,1265.5
 1988≥‚,13.5,18.9,9,1042.3
 1989≥‚,14.2,19.3,9.9,1371.3
 1990≥‚,14.9,19.9,10.7,1232.8
 1991≥‚,13.7,18.7,9.5,2058.9
 1992≥‚,14.2,19.2,10,1155.4
 1993≥‚,13.1,18.1,8.9,1649.4
 1994≥‚,14.8,20.3,10.2,921.4
 1995≥‚,13.7,19.2,9.2,693
 1996≥‚,13.7,19,9.3,1015
 1997≥‚,14.5,19.8,9.9,1198.6
 1998≥‚,15.1,19.5,11.2,1796
 1999≥‚,14.4,19,10.3,1864.9
 2000≥‚,14.3,19.2,10.1,1027.1
 2001≥‚,14.6,19.4,10.5,869.1
 2002≥‚,14.4,19.3,10.2,1559.8
 2003≥‚,14.3,19.1,10.3,1864.2
 2004≥‚,15.2,20.5,10.7,1250.1
 2005≥‚,14.3,19.4,10,1135.7
 2006≥‚,14.6,19.6,10.4,1393.9
 2007≥‚,15,19.9,10.8,1135.8
 2008≥‚,14.2,19.3,10,1112.3
 2009≥‚,14.3,19.5,10,1133.2
 2010≥‚,14,19.2,9.7,1161.6
 2011≥‚,13.7,18.8,9.4,1233.2
 2012≥‚,13.7,18.7,9.6,1458.1
 2013≥‚,14.8,20.2,10.3,858.3
 2014≥‚,14.7,19.7,10.6,1398.7
 2015≥‚,15,19.8,10.8,1044.6
 2016≥‚,14.8,19.4,10.8,1693.9
 2017≥‚,14.5,19.4,10.1,671.4
 2018≥‚,14.3,19,10.2,1416.1
 2019≥‚,14.9,19.7,10.7,1450.1
 2020≥‚,14.6,19.3,10.6,1557.9
 2021≥‚,14.9,19.6,10.8,1337
 2022≥‚,,,,871.5
 ∆Ú±’,13.8,19,9.4,1264.9